subject,clips,hr_pred,hr_ref,abs_err,snr,macc,face_found
subject5,12,101.07421875,101.07421875,0.0,16.522528955546818,0.9249614601686575,True
subject14,15,70.3125,70.3125,0.0,1.486032849942094,0.9408650376272509,True
subject15,15,112.5,119.53125,7.03125,-2.9242552716151304,0.9437814871795471,True
subject18,15,124.8046875,128.3203125,3.515625,3.7877340297103324,0.941868389676178,True
subject24,15,87.01171875,94.921875,7.91015625,-3.2251450356986906,0.9449055155820103,True
subject25,11,113.37890625,113.37890625,0.0,12.560421226395809,0.9794955425068061,True
subject27,11,111.62109375,111.62109375,0.0,4.046267264497975,0.9077201244620318,True
subject30,15,102.83203125,102.83203125,0.0,5.947802827246199,0.9221096684450427,True
subject32,15,116.89453125,116.89453125,0.0,0.4471724172152644,0.925625239982769,True
subject35,16,116.89453125,116.015625,0.87890625,-1.6270235268190212,0.9385168906551096,True
subject44,15,87.890625,87.890625,0.0,-1.4378089671276406,0.9630638243651479,True
subject46,15,91.40625,91.40625,0.0,1.608562591702728,0.912564227033177,True
subject47,15,114.2578125,105.46875,8.7890625,0.34043325951451386,0.9660894487475121,True
subject48,15,91.40625,91.40625,0.0,10.61361012388248,0.7335271916867023,True
subject49,15,86.1328125,86.1328125,0.0,14.55204923073187,0.9449992518168373,True
